unique_id,img_name,question,sub_task,prompt,choices,answer,target_size,target_class,image_id,file_name
109,/coco/val2017/000000221291.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2","['1', '3', '0', '2']",(A),246,person,count_197.png,images/count_197.png
111,/coco/val2017/000000065736.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0","['1', '3', '2', '0']",(A),345,person,count_199.png,images/count_199.png
112,/coco/val2017/000000029984.jpg,How many chairs are in the image?,Count,"How many chairs are in the image? Select from the following choices.
(A) 0
(B) 3
(C) 2
(D) 1
(E) 4","['0', '3', '2', '1', '4']",(C),667,chair,count_2.png,images/count_2.png
113,/coco/val2017/000000192716.jpg,How many cars are in the image?,Count,"How many cars are in the image? Select from the following choices.
(A) 4
(B) 2
(C) 1
(D) 0
(E) 3","['4', '2', '1', '0', '3']",(B),215,car,count_20.png,images/count_20.png
114,/coco/val2017/000000050943.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0","['1', '3', '2', '0']",(A),141,person,count_200.png,images/count_200.png
115,/coco/val2017/000000565563.jpg,How many beds are in the image?,Count,"How many beds are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 1
(D) 3","['2', '0', '1', '3']",(C),7069,bed,count_201.png,images/count_201.png
116,/coco/val2017/000000464824.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2","['1', '3', '0', '2']",(A),4890,person,count_202.png,images/count_202.png
117,/coco/val2017/000000391144.jpg,How many elephants are in the image?,Count,"How many elephants are in the image? Select from the following choices.
(A) 0
(B) 4
(C) 5
(D) 6
(E) 8
(F) 7","['0', '4', '5', '6', '8', '7']",(D),4328,elephant,count_203.png,images/count_203.png
118,/coco/val2017/000000066635.jpg,How many mouses are in the image?,Count,"How many mouses are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 1
(D) 3","['2', '0', '1', '3']",(C),1148,mouse,count_204.png,images/count_204.png
120,/coco/val2017/000000284106.jpg,How many carrots are in the image?,Count,"How many carrots are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 2
(D) 3","['0', '1', '2', '3']",(B),1172,carrot,count_206.png,images/count_206.png
121,/coco/val2017/000000426836.jpg,How many kites are in the image?,Count,"How many kites are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 1
(D) 2","['3', '0', '1', '2']",(C),1198,kite,count_207.png,images/count_207.png
122,/coco/val2017/000000256868.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 0
(B) 5
(C) 7
(D) 3
(E) 4
(F) 6","['0', '5', '7', '3', '4', '6']",(B),2196,person,count_208.png,images/count_208.png
123,/coco/val2017/000000578236.jpg,How many birds are in the image?,Count,"How many birds are in the image? Select from the following choices.
(A) 4
(B) 2
(C) 1
(D) 0
(E) 3
(F) 5","['4', '2', '1', '0', '3', '5']",(E),2116,bird,count_209.png,images/count_209.png
125,/coco/val2017/000000491071.jpg,How many sinks are in the image?,Count,"How many sinks are in the image? Select from the following choices.
(A) 1
(B) 4
(C) 0
(D) 3
(E) 2","['1', '4', '0', '3', '2']",(E),5724,sink,count_210.png,images/count_210.png
126,/coco/val2017/000000219485.jpg,How many cats are in the image?,Count,"How many cats are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2","['3', '1', '0', '2']",(B),2944,cat,count_211.png,images/count_211.png
127,/coco/val2017/000000400044.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 1
(D) 0","['2', '3', '1', '0']",(C),1737,person,count_212.png,images/count_212.png
128,/coco/val2017/000000500613.jpg,How many cars are in the image?,Count,"How many cars are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 2","['0', '1', '3', '2']",(C),3959,car,count_213.png,images/count_213.png
129,/coco/val2017/000000279541.jpg,How many pizzas are in the image?,Count,"How many pizzas are in the image? Select from the following choices.
(A) 12
(B) 0
(C) 11
(D) 9
(E) 8
(F) 10","['12', '0', '11', '9', '8', '10']",(D),7031,pizza,count_214.png,images/count_214.png
130,/coco/val2017/000000027972.jpg,How many surfboards are in the image?,Count,"How many surfboards are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 1
(D) 3","['2', '0', '1', '3']",(C),8171,surfboard,count_215.png,images/count_215.png
131,/coco/val2017/000000193884.jpg,How many stop signs are in the image?,Count,"How many stop signs are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 2
(D) 3","['0', '1', '2', '3']",(B),3050,stop sign,count_216.png,images/count_216.png
132,/coco/val2017/000000095155.jpg,How many snowboards are in the image?,Count,"How many snowboards are in the image? Select from the following choices.
(A) 5
(B) 0
(C) 4
(D) 2
(E) 6
(F) 3","['5', '0', '4', '2', '6', '3']",(C),5246,snowboard,count_217.png,images/count_217.png
133,/coco/val2017/000000155154.jpg,How many toilets are in the image?,Count,"How many toilets are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3","['0', '2', '1', '3']",(C),5426,toilet,count_218.png,images/count_218.png
135,/coco/val2017/000000270297.jpg,How many trains are in the image?,Count,"How many trains are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 4
(D) 3
(E) 1","['0', '2', '4', '3', '1']",(B),337,train,count_22.png,images/count_22.png
136,/coco/val2017/000000175438.jpg,How many potted plants are in the image?,Count,"How many potted plants are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0","['1', '2', '3', '0']",(A),1688,potted plant,count_220.png,images/count_220.png
137,/coco/val2017/000000194716.jpg,How many cell phones are in the image?,Count,"How many cell phones are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 0
(D) 1","['2', '3', '0', '1']",(D),2080,cell phone,count_221.png,images/count_221.png
138,/coco/val2017/000000404805.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 3
(D) 0","['2', '1', '3', '0']",(B),2719,person,count_222.png,images/count_222.png
139,/coco/val2017/000000422706.jpg,How many boats are in the image?,Count,"How many boats are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 2
(D) 1","['3', '0', '2', '1']",(D),5818,boat,count_223.png,images/count_223.png
140,/coco/val2017/000000276285.jpg,How many forks are in the image?,Count,"How many forks are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 0
(D) 3","['1', '2', '0', '3']",(A),3938,fork,count_224.png,images/count_224.png
141,/coco/val2017/000000216497.jpg,How many microwaves are in the image?,Count,"How many microwaves are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3","['1', '0', '2', '3']",(A),1881,microwave,count_225.png,images/count_225.png
142,/coco/val2017/000000166259.jpg,How many birds are in the image?,Count,"How many birds are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 0
(D) 6
(E) 2
(F) 3","['4', '5', '0', '6', '2', '3']",(A),1855,bird,count_226.png,images/count_226.png
143,/coco/val2017/000000175251.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 0
(D) 1","['2', '3', '0', '1']",(D),3910,person,count_227.png,images/count_227.png
144,/coco/val2017/000000016451.jpg,How many surfboards are in the image?,Count,"How many surfboards are in the image? Select from the following choices.
(A) 0
(B) 3
(C) 2
(D) 4
(E) 1","['0', '3', '2', '4', '1']",(C),3332,surfboard,count_228.png,images/count_228.png
145,/coco/val2017/000000050149.jpg,How many bowls are in the image?,Count,"How many bowls are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1","['3', '2', '0', '1']",(D),4661,bowl,count_229.png,images/count_229.png
146,/coco/val2017/000000354547.jpg,How many ties are in the image?,Count,"How many ties are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2","['3', '1', '0', '2']",(B),183,tie,count_23.png,images/count_23.png
147,/coco/val2017/000000184384.jpg,How many oranges are in the image?,Count,"How many oranges are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1","['3', '2', '0', '1']",(D),7010,orange,count_230.png,images/count_230.png
148,/coco/val2017/000000229849.jpg,How many tennis rackets are in the image?,Count,"How many tennis rackets are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 1
(D) 2","['3', '0', '1', '2']",(C),2606,tennis racket,count_231.png,images/count_231.png
150,/coco/val2017/000000255749.jpg,How many buss are in the image?,Count,"How many buss are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 3
(D) 0","['2', '1', '3', '0']",(B),1178,bus,count_233.png,images/count_233.png
151,/coco/val2017/000000319696.jpg,How many microwaves are in the image?,Count,"How many microwaves are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1","['2', '0', '3', '1']",(D),1225,microwave,count_234.png,images/count_234.png
152,/coco/val2017/000000378099.jpg,How many keyboards are in the image?,Count,"How many keyboards are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 3
(D) 2","['1', '0', '3', '2']",(A),8317,keyboard,count_235.png,images/count_235.png
153,/coco/val2017/000000087742.jpg,How many vases are in the image?,Count,"How many vases are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 0
(D) 3","['1', '2', '0', '3']",(A),4068,vase,count_236.png,images/count_236.png
154,/coco/val2017/000000235241.jpg,How many umbrellas are in the image?,Count,"How many umbrellas are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 3
(D) 2","['1', '0', '3', '2']",(A),5221,umbrella,count_237.png,images/count_237.png
155,/coco/val2017/000000050896.jpg,How many bowls are in the image?,Count,"How many bowls are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3","['0', '2', '1', '3']",(C),7502,bowl,count_238.png,images/count_238.png
157,/coco/val2017/000000053994.jpg,How many parking meters are in the image?,Count,"How many parking meters are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 2
(D) 3","['0', '1', '2', '3']",(B),478,parking meter,count_24.png,images/count_24.png
159,/coco/val2017/000000408774.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 4
(D) 6
(E) 5
(F) 0","['3', '2', '4', '6', '5', '0']",(C),5048,person,count_241.png,images/count_241.png
162,/coco/val2017/000000507037.jpg,How many backpacks are in the image?,Count,"How many backpacks are in the image? Select from the following choices.
(A) 4
(B) 2
(C) 3
(D) 1
(E) 0","['4', '2', '3', '1', '0']",(B),1493,backpack,count_244.png,images/count_244.png
164,/coco/val2017/000000468233.jpg,How many clocks are in the image?,Count,"How many clocks are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0","['3', '2', '1', '0']",(C),4818,clock,count_246.png,images/count_246.png
